title,company,post_date,date_found,url,platform
SMB Account Executive - Talent & Learning,LinkedIn,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/smb-account-executive-talent-learning-at-linkedin-4121271544?position=2&pageNum=0&refId=0HQg8yfo%2Fl8bnJlVE214QA%3D%3D&trackingId=yoOynLDF58Q5Qo%2BX9UqO9w%3D%3D,LinkedIn
Personal Talent Assistant,Hallow,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/personal-talent-assistant-at-hallow-4121274509?position=4&pageNum=0&refId=0HQg8yfo%2Fl8bnJlVE214QA%3D%3D&trackingId=nj6xLcTvugtc52pWlszbXw%3D%3D,LinkedIn
General Application,"WithMe, Inc.",2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/general-application-at-withme-inc-4120605170?position=5&pageNum=0&refId=0HQg8yfo%2Fl8bnJlVE214QA%3D%3D&trackingId=t6%2BZei1WbQH3i5Yv1elbEg%3D%3D,LinkedIn
Web Designer,World Headquarters,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/web-designer-at-world-headquarters-4121508779?position=6&pageNum=0&refId=0HQg8yfo%2Fl8bnJlVE214QA%3D%3D&trackingId=r2r9pZ3NIq2b19RcOMwnDQ%3D%3D,LinkedIn
Graphic Designer,OMI Industries,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/graphic-designer-at-omi-industries-4120959524?position=7&pageNum=0&refId=0HQg8yfo%2Fl8bnJlVE214QA%3D%3D&trackingId=kqtnFmEHpsv7sFzxCxrOYQ%3D%3D,LinkedIn
SVP of Sales,"WithMe, Inc.",2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/svp-of-sales-at-withme-inc-4120602563?position=15&pageNum=0&refId=0HQg8yfo%2Fl8bnJlVE214QA%3D%3D&trackingId=wHXQdugPztKrn8CBv3mGsA%3D%3D,LinkedIn
"Part-time sitter vacancy for two middle schoolers and a dog near Chicago, IL",Wyndy,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/part-time-sitter-vacancy-for-two-middle-schoolers-and-a-dog-near-chicago-il-at-wyndy-4121128918?position=17&pageNum=0&refId=0HQg8yfo%2Fl8bnJlVE214QA%3D%3D&trackingId=T3Dv6p1dQDg%2BM%2FXlN1tZZQ%3D%3D,LinkedIn
Business Development Sales Executive - Hospitality,"WithMe, Inc.",2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/business-development-sales-executive-hospitality-at-withme-inc-4120602555?position=18&pageNum=0&refId=0HQg8yfo%2Fl8bnJlVE214QA%3D%3D&trackingId=aft1q8IrWvW%2BBj%2Brg%2F6goQ%3D%3D,LinkedIn
Director of Quality,Pregis,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/director-of-quality-at-pregis-4121290272?position=21&pageNum=0&refId=0HQg8yfo%2Fl8bnJlVE214QA%3D%3D&trackingId=Al%2FAht3%2FD9I7nUaqrXI6eg%3D%3D,LinkedIn
Verification Specialist:  Internationally-Based Remote: (1099 Independent Contractor),KENTECH,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/verification-specialist-internationally-based-remote-1099-independent-contractor-at-kentech-4120665796?position=22&pageNum=0&refId=0HQg8yfo%2Fl8bnJlVE214QA%3D%3D&trackingId=65dZsmyW3j0U8GQBNces8A%3D%3D,LinkedIn
